ppp,loan,jobs
"$136835, 0 jobs retained",$0-$150k,0
"$134200, 15 jobs retained",$0-$150k,15
"$131800, 10 jobs retained",$0-$150k,10
"$121270, 27 jobs retained",$0-$150k,27
"$113500, 19 jobs retained",$0-$150k,19
"$109400, 23 jobs retained",$0-$150k,23
"$106410, 23 jobs retained",$0-$150k,23
"$102000, 0 jobs retained",$0-$150k,0
"$91400, 11 jobs retained",$0-$150k,11
"$90662, 0 jobs retained",$0-$150k,0
"$83407, 20 jobs retained",$0-$150k,20
"$83262, 13 jobs retained",$0-$150k,13
"$80266, 10 jobs retained",$0-$150k,10
"$79500, 15 jobs retained",$0-$150k,15
"$78880, 13 jobs retained",$0-$150k,13
"$76400, 13 jobs retained",$0-$150k,13
"$75961, 7 jobs retained",$0-$150k,7
"$70052, 8 jobs retained",$0-$150k,8
"$68035, 16 jobs retained",$0-$150k,16
"$66500, 19 jobs retained",$0-$150k,19
"$59697, 14 jobs retained",$0-$150k,14
"$56812, 32 jobs retained",$0-$150k,32
"$53375, 8 jobs retained",$0-$150k,8
"$52600, 0 jobs retained",$0-$150k,0
"$52150, 10 jobs retained",$0-$150k,10
"$49949, 13 jobs retained",$0-$150k,13
"$49933, 38 jobs retained",$0-$150k,38
"$47821, 9 jobs retained",$0-$150k,9
"$44466, 10 jobs retained",$0-$150k,10
"$42618, 9 jobs retained",$0-$150k,9
"$40545, 4 jobs retained",$0-$150k,4
"$40000, 8 jobs retained",$0-$150k,8
"$32431, 10 jobs retained",$0-$150k,10
"$31000, 9 jobs retained",$0-$150k,9
"$29361, 7 jobs retained",$0-$150k,7
"$26467, 6 jobs retained",$0-$150k,6
"$25680, 6 jobs retained",$0-$150k,6
"$25377, 6 jobs retained",$0-$150k,6
"$24100, 9 jobs retained",$0-$150k,9
"$23975, 6 jobs retained",$0-$150k,6
"$23285, 5 jobs retained",$0-$150k,5
"$21440, 4 jobs retained",$0-$150k,4
"$21437, 12 jobs retained",$0-$150k,12
"$21295, 4 jobs retained",$0-$150k,4
"$20850, 0 jobs retained",$0-$150k,0
"$20487, 7 jobs retained",$0-$150k,7
"$20062, 5 jobs retained",$0-$150k,5
"$20000, 1 job retained",$0-$150k,1
"$19700, 15 jobs retained",$0-$150k,15
"$17800, 8 jobs retained",$0-$150k,8
"$17500, 3 jobs retained",$0-$150k,3
"$15797, 0 jobs retained",$0-$150k,0
"$15272, 4 jobs retained",$0-$150k,4
"$14983, 4 jobs retained",$0-$150k,4
"$13177, 4 jobs retained",$0-$150k,4
"$13100, 2 jobs retained",$0-$150k,2
"$13065, 0 jobs retained",$0-$150k,0
"$12490, 4 jobs retained",$0-$150k,4
"$12030, 0 jobs retained",$0-$150k,0
"$11700, 4 jobs retained",$0-$150k,4
"$11562, 0 jobs retained",$0-$150k,0
"$11454, 5 jobs retained",$0-$150k,5
"$7500, 2 jobs retained",$0-$150k,2
"$7440, 2 jobs retained",$0-$150k,2
"$7187, 5 jobs retained",$0-$150k,5
"$6820, 3 jobs retained",$0-$150k,3
"$5239, 1 job retained",$0-$150k,1
"$5000, 2 jobs retained",$0-$150k,2
"$4000, 1 job retained",$0-$150k,1
"$3500, 4 jobs retained",$0-$150k,4
"$2410, 3 jobs retained",$0-$150k,3
"$150k-$350k, 18 jobs retained",$150k-$350k,18
"$150-350k, 0 jobs retained",$150k-$350k,0
"$150-350k, 21 jobs retained",$150k-$350k,21
"$350-500k, 44 jobs retained",$350k-$500k,44
"$150-350k, 25 jobs retained",$150k-$350k,25
"$150-350k, 22 jobs retained",$150k-$350k,22
"$150-350k, 18 jobs retained",$150k-$350k,18
"$150-350k, 23 jobs retained",$150k-$350k,23
"$350k-500k, 40 jobs retained",$350k-$500k,40
"$150-350k, 28 jobs retained",$150k-$350k,28
"$350-500k, 49 jobs retained",$350k-$500k,49
"$150-350k, 50 jobs retained",$150k-$350k,50
"$150-350k, 12 jobs retained",$150k-$350k,12
"$150-350k, 27 jobs retained",$150k-$350k,27
"$150-350k, 24 jobs retained",$150k-$350k,24
"$150-350k, 40 jobs retained",$150k-$350k,40
"$500k-$1 million, 160 jobs retained",$500k-$1mm,160
